job_title;seniority_level;status;company;location;post_date;headquarter;industry;ownership;company_size;revenue;skills;Revenue_numeric;Revenue Status;AVG_Salary
data scientist;midlevel;remote;company_280;Annapolis Junction, MD . Annapolis, MD . Fully Remote;a month ago;Annapolis, MD, US;Technology;Private;60;Private;linux, machine learning, python;;Not Reported (Private) ;146133
data scientist;senior;remote;company_282;Rosemont, IL;5 days ago;Rosemont, IL, US;Healthcare;Public;28,070;Public;git, r, python, bash, sql, machine learning, deep learning;;Not Reprted (Puplic) ;89051
data scientist;lead;hybrid;company_115;New York, NY . Hybrid;a month ago;Frankfurt am Main, HE, DE;Finance;Public;68,430;Public;pandas, numpy, scikit-learn, python, sql, hadoop;;Not Reprted (Puplic) ;137002
data scientist;senior;Not specified;company_207;Hyderabad, Telangana, India;10 days ago;Boise, ID, US;Technology;Public;40,050;Ä55.39B;pytorch, r, python, sql, machine learning, deep learning, tensorflow, tableau;55.39;Reported;24621
data scientist;junior;Not specified;company_047;Bengaluru, Karnataka, India;a month ago;Bengaluru, KA, IN;Technology;Public;222,040;Ä24.21B;deep learning, machine learning;24.21;Reported;10055
data scientist;senior;on-site;company_288;Chantilly, VA . On-site;a month ago;Reston, VA, US;Technology;Public;26,030;Ä63.09B;aws, azure;63.09;Reported;114171
data scientist;senior;Not specified;company_290;Pune, Maharashtra, India;8 days ago;London, GB;Finance;Public;68,160;Ä26.63B;powerbi, aws, python, sql, machine learning, tableau;26.63;Reported;35853.5
data scientist;senior;Not specified;company_291;Bengaluru, Karnataka, India;5 days ago;Bengaluru, KA, IN;Technology;Public;261,060;Ä70.98B;aws, r, python, sql, neural network, gcp, azure;70.98;Reported;9583
data scientist;senior;on-site;company_141;Orlando, FL;a month ago;Bethesda, MD, US;Technology;Public;108,650;Ä116.88B;machine learning;116.88;Reported;68500
data scientist;senior;remote;company_293;Bengaluru, Karnataka, India;3 months ago;Bengaluru, KA, IN;Technology;Private;15,440;Ä10.22B;spark, python, sql, machine learning, deep learning, tensorflow;10.22;Reported;36104
data scientist;senior;hybrid;company_295;Montreal, Quebec, Canada . Hybrid;5 days ago;Dartmouth, NS, CA;Technology;Private;31;Private;pandas, numpy, pytorch, aws, scikit-learn, python, sql, machine learning;;Not Reported (Private) ;55906
data scientist;midlevel;hybrid;company_296;Lebanon, NH . Hybrid;17 days ago;Bridgewater, NJ, US;Healthcare;Public;613;Public;machine learning, python;;Not Reprted (Puplic) ;95115
data scientist;midlevel;on-site;company_166;Veldhoven, North Brabant, Netherlands . On-site;8 days ago;Veldhoven, NB, NL;Technology;Public;24,820;Ä173.56B;python;173.56;Reported;82373
data scientist;senior;remote;company_298;United States;15 days ago;Draper, UT, US;Healthcare;Public;1,020;Public;sql, azure, r, python;;Not Reprted (Puplic) ;112114.5
data scientist;senior;Not specified;company_303;New York, NY;22 days ago;Irving, TX, US;Technology;Public;11,060;Public;aws, git, python, sql, gcp, machine learning;;Not Reprted (Puplic) ;116458
data scientist;senior;on-site;company_034;Annapolis Junction, MD;a month ago;Baltimore, MD, US;Technology;Private;45;Private;sql, machine learning, r, python;;Not Reported (Private) ;194540
